,geneamps_ENSG00000133627_ACTR3B,geneamps_ENSG00000011426_ANLN,geneamps_ENSG00000107262_BAG1,geneamps_ENSG00000171791_BCL2,geneamps_ENSG00000089685_BIRC5,geneamps_ENSG00000106605_BLVRA,geneamps_ENSG00000134057_CCNB1,geneamps_ENSG00000105173_CCNE1,geneamps_ENSG00000117399_CDC20,geneamps_ENSG00000094804_CDC6,geneamps_ENSG00000062038_CDH3,geneamps_ENSG00000117724_CENPF,geneamps_ENSG00000138180_CEP55,geneamps_ENSG00000171604_CXXC5,geneamps_ENSG00000146648_EGFR,geneamps_ENSG00000141736_ERBB2,geneamps_ENSG00000091831_ESR1,geneamps_ENSG00000174371_EXO1,geneamps_ENSG00000160867_FGFR4,geneamps_ENSG00000129514_FOXA1,geneamps_ENSG00000054598_FOXC1,geneamps_ENSG00000173890_GPR160,geneamps_ENSG00000141738_GRB7,geneamps_ENSG00000142945_KIF2C,geneamps_ENSG00000186847_KRT14,geneamps_ENSG00000128422_KRT17,geneamps_ENSG00000186081_KRT5,geneamps_ENSG00000186868_MAPT,geneamps_ENSG00000135679_MDM2,geneamps_ENSG00000165304_MELK,geneamps_ENSG00000261857_MIA,geneamps_ENSG00000148773_MKI67,geneamps_ENSG00000115648_MLPH,geneamps_ENSG00000099953_MMP11,geneamps_ENSG00000101057_MYBL2,geneamps_ENSG00000136997_MYC,geneamps_ENSG00000171428_NAT1,geneamps_ENSG00000080986_NDC80,geneamps_ENSG00000143228_NUF2,geneamps_ENSG00000091651_ORC6,geneamps_ENSG00000082175_PGR,geneamps_ENSG00000092621_PHGDH,geneamps_ENSG00000164611_PTTG1,geneamps_ENSG00000171848_RRM2,geneamps_ENSG00000104332_SFRP1,geneamps_ENSG00000141424_SLC39A6,geneamps_ENSG00000151715_TMEM45B,geneamps_ENSG00000176890_TYMS,geneamps_ENSG00000175063_UBE2C,geneamps_ENSG00000077152_UBE2T
HMF002225A,4.0,6.0,6.0,4.0,2.0,6.0,4.0,7.0,4.0,2.0,5.0,6.0,4.0,6.0,4.0,2.0,2.0,6.0,8.0,6.0,4.0,6.0,2.0,4.0,2.0,2.0,4.0,2.0,11.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,6.0,2.0,6.0,4.0,4.0,8.0,6.0,4.0,4.0,4.0,2.0,2.0,4.0,6.0
HMF002201A,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,3.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,3.0
HMF001690A,2.0,5.0,2.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,26.0,2.0,2.0,2.0,2.0,2.0,1.0,4.0,1.0,1.0,2.0,3.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0
HMF004081A,4.0,4.0,4.0,2.0,2.0,4.0,4.0,4.0,4.0,2.0,2.0,8.0,4.0,4.0,4.0,2.0,4.0,8.0,4.0,4.0,4.0,4.0,2.0,4.0,2.0,2.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,8.0,2.0,2.0,4.0,4.0,4.0,4.0,2.0,4.0,2.0,4.0,8.0
HMF004163A,3.0,3.0,2.0,2.0,3.0,3.0,2.0,2.0,3.0,3.0,1.0,3.0,2.0,2.0,3.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0,2.0,2.0,3.0,1.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0
HMF003951A,3.0,3.0,2.0,2.0,5.0,3.0,3.0,4.0,2.0,4.0,2.0,5.0,2.0,3.0,3.0,4.0,3.0,4.0,3.0,3.0,3.0,6.0,4.0,2.0,4.0,4.0,5.0,5.0,4.0,2.0,3.0,2.0,1.0,3.0,4.0,7.0,3.0,4.0,4.0,4.0,3.0,4.0,4.0,2.0,4.0,3.0,3.0,4.0,4.0,5.0
HMF004517A,6.0,6.0,3.0,5.0,4.0,6.0,6.0,4.0,4.0,4.0,6.0,7.0,4.0,6.0,6.0,4.0,4.0,7.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,6.0,4.0,9.0,3.0,4.0,4.0,4.0,4.0,5.0,5.0,2.0,4.0,7.0,6.0,2.0,4.0,6.0,5.0,5.0,5.0,5.0,4.0,5.0,7.0
HMF003968A,3.0,3.0,2.0,3.0,3.0,3.0,3.0,11.0,2.0,25.0,3.0,4.0,2.0,3.0,3.0,25.0,3.0,5.0,3.0,2.0,2.0,7.0,25.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0,3.0,6.0,1.0,4.0,4.0,2.0,6.0,5.0,3.0,2.0,3.0,3.0,2.0,4.0,3.0,5.0
HMF003003A,1.0,4.0,2.0,2.0,2.0,4.0,3.0,2.0,2.0,1.0,1.0,3.0,2.0,3.0,3.0,1.0,2.0,3.0,3.0,2.0,2.0,3.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,6.0,1.0,2.0,3.0,2.0,1.0,2.0,3.0,2.0,2.0,2.0,1.0,2.0,2.0,3.0
HMF000887A,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,63.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,3.0,2.0,2.0,1.0,2.0,2.0,2.0
HMF001157A,4.0,3.0,3.0,3.0,6.0,3.0,2.0,4.0,3.0,2.0,2.0,3.0,4.0,2.0,3.0,2.0,2.0,3.0,4.0,4.0,2.0,5.0,2.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,4.0,2.0,3.0,2.0,4.0,9.0,1.0,5.0,3.0,2.0,3.0,3.0,2.0,2.0,33.0,3.0,3.0,5.0,4.0,3.0
HMF001392A,2.0,2.0,2.0,2.0,3.0,2.0,1.0,2.0,2.0,2.0,1.0,3.0,1.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0
HMF002559A,2.0,4.0,2.0,4.0,2.0,5.0,2.0,2.0,2.0,2.0,4.0,6.0,3.0,3.0,3.0,2.0,3.0,6.0,3.0,3.0,3.0,4.0,2.0,2.0,2.0,2.0,5.0,2.0,4.0,2.0,2.0,2.0,3.0,3.0,4.0,3.0,3.0,2.0,6.0,4.0,2.0,4.0,3.0,3.0,4.0,4.0,2.0,3.0,3.0,6.0
HMF004381A,2.0,3.0,2.0,3.0,7.0,3.0,2.0,2.0,3.0,1.0,2.0,3.0,2.0,2.0,3.0,26.0,3.0,4.0,2.0,2.0,5.0,4.0,26.0,3.0,1.0,1.0,3.0,8.0,3.0,2.0,2.0,2.0,3.0,2.0,4.0,23.0,1.0,6.0,3.0,2.0,4.0,4.0,2.0,2.0,2.0,2.0,5.0,7.0,4.0,3.0
HMF001019A,2.0,2.0,1.0,2.0,7.0,2.0,3.0,2.0,2.0,1.0,2.0,2.0,3.0,3.0,2.0,1.0,1.0,3.0,3.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,15.0,1.0,4.0,2.0,2.0,2.0,2.0,10.0,1.0,2.0,1.0,2.0,1.0,2.0,3.0,2.0,1.0,2.0,1.0,2.0,2.0,6.0
HMF004078A,4.0,4.0,3.0,3.0,2.0,4.0,5.0,3.0,3.0,4.0,6.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,3.0,4.0,3.0,4.0,4.0,5.0,4.0,5.0,3.0,3.0,4.0,3.0,3.0,10.0,4.0,23.0,3.0,4.0,6.0,2.0,3.0,5.0,3.0,25.0,3.0,2.0,3.0,10.0,4.0
HMF003370A,4.0,3.0,7.0,4.0,3.0,3.0,2.0,3.0,2.0,2.0,2.0,3.0,4.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,4.0,5.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,1.0,2.0,2.0,3.0,4.0,1.0,1.0,3.0,3.0,3.0,2.0,4.0,4.0,3.0,3.0,2.0,1.0,2.0,3.0
HMF002831A,3.0,3.0,3.0,2.0,6.0,3.0,3.0,3.0,4.0,2.0,3.0,4.0,2.0,3.0,3.0,2.0,2.0,4.0,3.0,3.0,2.0,5.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,5.0,3.0,5.0,5.0,4.0,4.0,4.0,2.0,4.0,3.0,3.0,5.0,6.0,3.0,4.0,3.0,4.0
HMF002935A,4.0,3.0,2.0,3.0,3.0,3.0,4.0,5.0,4.0,3.0,2.0,7.0,4.0,4.0,4.0,3.0,3.0,7.0,5.0,5.0,3.0,3.0,3.0,4.0,3.0,3.0,4.0,3.0,4.0,3.0,5.0,5.0,4.0,2.0,6.0,6.0,6.0,3.0,7.0,2.0,3.0,3.0,5.0,3.0,6.0,3.0,4.0,3.0,5.0,7.0
HMF000415A,2.0,2.0,1.0,2.0,4.0,2.0,2.0,2.0,2.0,1.0,1.0,4.0,2.0,2.0,2.0,1.0,2.0,4.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,3.0,2.0,2.0,2.0,3.0,3.0,2.0,3.0,4.0,1.0,2.0,2.0,2.0,3.0,2.0,1.0,2.0,1.0,4.0
HMF003231A,3.0,4.0,3.0,4.0,7.0,4.0,3.0,4.0,4.0,4.0,2.0,6.0,4.0,4.0,4.0,4.0,2.0,6.0,6.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,8.0,12.0,2.0,3.0,6.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,8.0,6.0
HMF003168A,5.0,5.0,3.0,4.0,4.0,5.0,3.0,4.0,3.0,4.0,2.0,7.0,4.0,3.0,5.0,4.0,4.0,7.0,3.0,3.0,4.0,3.0,4.0,3.0,4.0,4.0,5.0,4.0,5.0,3.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0,9.0,7.0,2.0,3.0,3.0,3.0,4.0,4.0,4.0,3.0,12.0,4.0,7.0
HMF003113A,5.0,4.0,3.0,2.0,4.0,4.0,3.0,26.0,3.0,3.0,5.0,6.0,2.0,3.0,4.0,3.0,3.0,6.0,3.0,3.0,5.0,4.0,3.0,2.0,3.0,3.0,3.0,4.0,3.0,3.0,4.0,2.0,3.0,3.0,8.0,9.0,2.0,4.0,4.0,5.0,4.0,4.0,3.0,4.0,5.0,3.0,2.0,8.0,6.0,6.0
HMF002655A,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,3.0,1.0,2.0,2.0,2.0,1.0,4.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,3.0,3.0,1.0,2.0,3.0,1.0,1.0,1.0,2.0,2.0,3.0,2.0,1.0,2.0,3.0,3.0
HMF001244A,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,4.0,1.0,4.0,1.0,2.0,2.0,3.0,1.0,5.0,2.0,1.0,2.0,3.0,3.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,3.0,1.0,1.0,20.0,2.0,4.0
HMF001851A,2.0,3.0,3.0,4.0,3.0,3.0,2.0,3.0,5.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,2.0,2.0,4.0,4.0,2.0,5.0,2.0,2.0,2.0,2.0,2.0,4.0,3.0,6.0,2.0,3.0,3.0,9.0,2.0,4.0,3.0,1.0,1.0,5.0,2.0,2.0,2.0,4.0,2.0,4.0,3.0,4.0
HMF001089A,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,6.0,2.0,2.0,2.0,2.0,2.0
HMF001428A,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,4.0,2.0,2.0,2.0,2.0,1.0,4.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,4.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0
HMF003037A,2.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0
HMF002573B,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,3.0,2.0,2.0,2.0,1.0,2.0,3.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,3.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,3.0
HMF003005A,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,1.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,1.0,2.0,2.0,2.0,2.0,2.0
HMF000857A,2.0,2.0,1.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,1.0,2.0,2.0,3.0,1.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,3.0,3.0,2.0,4.0,7.0,1.0,2.0,1.0,2.0,1.0,2.0,5.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0
HMF002267A,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,4.0,1.0,2.0,3.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,3.0
HMF001730A,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0
HMF000309A,4.0,3.0,4.0,3.0,4.0,4.0,5.0,3.0,3.0,5.0,2.0,6.0,3.0,5.0,4.0,198.0,5.0,6.0,5.0,6.0,3.0,6.0,198.0,3.0,2.0,2.0,4.0,2.0,3.0,4.0,3.0,3.0,2.0,2.0,4.0,33.0,2.0,4.0,6.0,2.0,3.0,5.0,4.0,3.0,3.0,3.0,3.0,5.0,4.0,6.0
HMF004341A,2.0,4.0,5.0,4.0,2.0,4.0,4.0,4.0,3.0,2.0,3.0,7.0,4.0,4.0,4.0,6.0,6.0,7.0,4.0,4.0,4.0,15.0,6.0,3.0,2.0,2.0,7.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,6.0,10.0,2.0,4.0,6.0,3.0,5.0,3.0,4.0,3.0,6.0,6.0,5.0,6.0,6.0,7.0
HMF004764A,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,4.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,4.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,4.0
HMF004973A,5.0,2.0,2.0,2.0,4.0,2.0,2.0,4.0,4.0,2.0,3.0,6.0,2.0,2.0,2.0,2.0,3.0,6.0,4.0,2.0,3.0,2.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0,4.0,3.0,2.0,4.0,6.0,3.0,3.0,3.0,2.0,3.0,5.0,2.0,3.0,4.0,4.0,6.0
HMF004116A,3.0,4.0,2.0,2.0,4.0,4.0,3.0,2.0,3.0,1.0,2.0,4.0,2.0,3.0,4.0,1.0,3.0,4.0,3.0,3.0,3.0,3.0,1.0,3.0,1.0,1.0,3.0,1.0,3.0,2.0,2.0,2.0,3.0,1.0,3.0,2.0,2.0,2.0,4.0,2.0,2.0,3.0,4.0,2.0,2.0,2.0,2.0,2.0,3.0,4.0
HMF004037A,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,4.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,3.0,2.0,4.0,1.0,1.0,4.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,4.0
HMF004313A,4.0,4.0,5.0,3.0,2.0,4.0,2.0,3.0,6.0,2.0,3.0,7.0,3.0,2.0,4.0,2.0,4.0,5.0,2.0,2.0,3.0,3.0,2.0,6.0,2.0,2.0,2.0,2.0,2.0,5.0,3.0,3.0,3.0,3.0,4.0,9.0,3.0,4.0,4.0,3.0,3.0,5.0,2.0,3.0,13.0,3.0,3.0,4.0,4.0,7.0
HMF003338B,4.0,3.0,2.0,3.0,6.0,4.0,1.0,4.0,3.0,3.0,3.0,4.0,2.0,2.0,4.0,8.0,3.0,2.0,3.0,3.0,3.0,3.0,8.0,3.0,3.0,3.0,2.0,3.0,47.0,2.0,3.0,2.0,3.0,2.0,4.0,7.0,1.0,3.0,3.0,3.0,2.0,3.0,1.0,3.0,6.0,5.0,2.0,66.0,4.0,4.0
HMF004729A,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,3.0,1.0,1.0,2.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,1.0,5.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,3.0
HMF001341A,3.0,2.0,2.0,4.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,24.0,2.0,3.0,2.0,3.0,2.0,3.0,24.0,2.0,2.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0,10.0,2.0,2.0,3.0,2.0,3.0,3.0,2.0,3.0,7.0,2.0,3.0,2.0,3.0,3.0
HMF001466A,3.0,3.0,2.0,3.0,7.0,3.0,4.0,4.0,4.0,3.0,2.0,4.0,3.0,4.0,3.0,3.0,2.0,3.0,4.0,2.0,3.0,4.0,3.0,4.0,3.0,3.0,4.0,5.0,4.0,2.0,4.0,3.0,3.0,8.0,8.0,10.0,2.0,3.0,4.0,8.0,2.0,4.0,4.0,3.0,6.0,3.0,2.0,3.0,11.0,4.0
HMF000275A,3.0,5.0,3.0,2.0,7.0,5.0,4.0,5.0,2.0,7.0,3.0,6.0,5.0,4.0,4.0,7.0,2.0,6.0,4.0,4.0,4.0,4.0,7.0,2.0,7.0,7.0,5.0,7.0,5.0,3.0,5.0,5.0,4.0,5.0,6.0,8.0,3.0,4.0,6.0,3.0,2.0,3.0,4.0,4.0,7.0,2.0,2.0,4.0,6.0,6.0
HMF001191A,4.0,3.0,4.0,2.0,4.0,4.0,4.0,4.0,2.0,4.0,2.0,8.0,4.0,4.0,4.0,4.0,4.0,8.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0,2.0,6.0,2.0,2.0,2.0,4.0,4.0,4.0,2.0,2.0,2.0,4.0,8.0
HMF004277A,2.0,2.0,2.0,3.0,4.0,2.0,2.0,2.0,2.0,4.0,1.0,2.0,2.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0,2.0,4.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,3.0,4.0,1.0,3.0,2.0,1.0,1.0,2.0,2.0,2.0,4.0,3.0,1.0,3.0,3.0,2.0
HMF003666A,3.0,2.0,8.0,3.0,2.0,3.0,2.0,6.0,3.0,3.0,3.0,4.0,2.0,2.0,6.0,3.0,3.0,4.0,1.0,3.0,5.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,28.0,1.0,2.0,5.0,3.0,3.0,4.0,2.0,4.0,5.0,3.0,3.0,3.0,4.0,4.0
HMF001684A,3.0,3.0,2.0,7.0,7.0,3.0,4.0,7.0,3.0,5.0,4.0,6.0,3.0,4.0,3.0,21.0,4.0,6.0,4.0,3.0,5.0,4.0,21.0,3.0,5.0,5.0,4.0,5.0,4.0,2.0,7.0,3.0,4.0,5.0,3.0,7.0,7.0,2.0,5.0,5.0,3.0,3.0,4.0,3.0,7.0,5.0,3.0,2.0,3.0,5.0
HMF003471A,3.0,3.0,2.0,2.0,3.0,3.0,2.0,3.0,3.0,2.0,3.0,4.0,2.0,2.0,3.0,29.0,2.0,4.0,2.0,2.0,2.0,3.0,29.0,3.0,2.0,2.0,3.0,2.0,3.0,2.0,3.0,2.0,2.0,3.0,4.0,4.0,1.0,2.0,4.0,3.0,2.0,2.0,2.0,4.0,1.0,2.0,3.0,2.0,4.0,4.0
HMF000459A,5.0,4.0,4.0,2.0,2.0,4.0,4.0,4.0,2.0,2.0,2.0,6.0,4.0,4.0,4.0,2.0,3.0,6.0,4.0,3.0,4.0,4.0,2.0,2.0,2.0,2.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,2.0,2.0,6.0,2.0,3.0,4.0,4.0,3.0,5.0,2.0,3.0,2.0,4.0,6.0
HMF003804A,2.0,2.0,2.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,4.0,2.0,3.0,2.0,2.0,2.0,8.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,4.0,1.0,2.0,3.0,2.0,2.0,2.0,3.0,1.0,3.0,3.0,2.0,2.0,9.0,3.0
HMF001042A,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,3.0
HMF002484A,2.0,4.0,2.0,4.0,7.0,4.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,4.0,3.0,4.0,3.0,3.0,6.0,2.0,4.0,3.0,3.0,3.0,3.0,4.0,5.0,4.0,2.0,3.0,3.0,3.0,2.0,38.0,6.0,1.0,4.0,3.0,4.0,2.0,3.0,4.0,3.0,5.0,4.0,4.0,4.0,1.0,3.0
HMF000834A,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,1.0,2.0,1.0,4.0,2.0,3.0,2.0,2.0,2.0,4.0,3.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,4.0,5.0,1.0,2.0,3.0,2.0,2.0,2.0,1.0,2.0,2.0,4.0
HMF000851A,3.0,3.0,3.0,2.0,4.0,4.0,5.0,4.0,3.0,0.0,3.0,5.0,2.0,5.0,3.0,2.0,2.0,4.0,4.0,4.0,4.0,4.0,2.0,3.0,2.0,2.0,4.0,2.0,4.0,3.0,0.0,2.0,2.0,2.0,9.0,15.0,1.0,2.0,4.0,3.0,3.0,4.0,4.0,3.0,4.0,3.0,2.0,2.0,6.0,4.0
HMF000479A,3.0,3.0,3.0,2.0,4.0,3.0,2.0,4.0,3.0,2.0,5.0,3.0,2.0,3.0,3.0,2.0,2.0,7.0,3.0,2.0,2.0,7.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,3.0,6.0,2.0,1.0,7.0,4.0,2.0,5.0,3.0,3.0,4.0,2.0,2.0,1.0,3.0,3.0
HMF001401A,2.0,2.0,1.0,1.0,3.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,26.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,4.0,1.0,1.0,2.0,2.0,2.0
HMF004683A,2.0,2.0,1.0,1.0,3.0,2.0,1.0,2.0,1.0,3.0,1.0,3.0,1.0,1.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,1.0,3.0,3.0,2.0,3.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,2.0,3.0
HMF002615A,3.0,2.0,2.0,5.0,4.0,2.0,2.0,30.0,3.0,3.0,2.0,5.0,2.0,2.0,2.0,3.0,3.0,5.0,2.0,2.0,2.0,4.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,8.0,2.0,2.0,6.0,2.0,2.0,3.0,2.0,4.0,5.0,3.0,2.0,3.0,4.0,6.0
HMF002915A,2.0,3.0,2.0,2.0,3.0,3.0,3.0,2.0,2.0,3.0,2.0,6.0,3.0,3.0,3.0,3.0,3.0,6.0,3.0,4.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,2.0,2.0,6.0,5.0,3.0,2.0,6.0,2.0,2.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,4.0,6.0
