Accuracy,Precision,Recall,F1,AUROC,Kappa,MCC,Balanced accuracy,algorithm,only_peaks,fold,cancer_type,classes,pos_class,variant_group,variant_type,breakpoint_type
0.7777777777777778,0.75,0.75,0.75,0.8,0.55,0.55,0.775,kNN,True,6,lung,RES vs NONRES,RES,cnv,dip,supervised
0.4444444444444444,0.3333333333333333,0.25,0.28571428571428575,0.6,-0.15384615384615397,-0.15811388300841897,0.425,RF,True,7,lung,RES vs NONRES,RES,cnv,dip,supervised
0.6666666666666666,0.6666666666666666,0.5,0.5714285714285715,0.6,0.3076923076923076,0.31622776601683794,0.65,NB,True,7,lung,RES vs NONRES,RES,cnv,dip,supervised
0.7777777777777778,0.75,0.75,0.75,0.75,0.55,0.55,0.775,LR,True,7,lung,RES vs NONRES,RES,cnv,dip,supervised
0.3333333333333333,0.25,0.25,0.25,0.42499999999999993,-0.34999999999999987,-0.35,0.325,kNN,True,7,lung,RES vs NONRES,RES,cnv,dip,supervised
0.25,0.0,0.0,0.0,0.375,-0.5,-0.5773502691896258,0.25,RF,True,8,lung,RES vs NONRES,RES,cnv,dip,supervised
0.375,0.4,0.5,0.4444444444444445,0.4375,-0.25,-0.2581988897471611,0.375,NB,True,8,lung,RES vs NONRES,RES,cnv,dip,supervised
0.25,0.25,0.25,0.25,0.25,-0.5,-0.5,0.25,LR,True,8,lung,RES vs NONRES,RES,cnv,dip,supervised
0.375,0.4,0.5,0.4444444444444445,0.3125,-0.25,-0.2581988897471611,0.375,kNN,True,8,lung,RES vs NONRES,RES,cnv,dip,supervised
0.875,0.8,1.0,0.888888888888889,0.9375,0.75,0.7745966692414834,0.875,RF,True,9,lung,RES vs NONRES,RES,cnv,dip,supervised
0.875,1.0,0.75,0.8571428571428571,0.8125,0.75,0.7745966692414834,0.875,NB,True,9,lung,RES vs NONRES,RES,cnv,dip,supervised
0.75,0.75,0.75,0.75,0.9375,0.5,0.5,0.75,LR,True,9,lung,RES vs NONRES,RES,cnv,dip,supervised
0.75,1.0,0.5,0.6666666666666666,0.75,0.5,0.5773502691896258,0.75,kNN,True,9,lung,RES vs NONRES,RES,cnv,dip,supervised
0.625,0.5,0.6666666666666666,0.5714285714285715,0.7333333333333333,0.25,0.2581988897471611,0.6333333333333333,RF,True,10,lung,RES vs NONRES,RES,cnv,dip,supervised
0.625,0.5,0.3333333333333333,0.4,0.5333333333333333,0.1428571428571429,0.14907119849998599,0.5666666666666667,NB,True,10,lung,RES vs NONRES,RES,cnv,dip,supervised
0.5,0.0,0.0,0.0,0.5333333333333333,-0.23076923076923084,-0.29277002188455997,0.4,LR,True,10,lung,RES vs NONRES,RES,cnv,dip,supervised
0.625,0.5,1.0,0.6666666666666666,0.5,0.33333333333333337,0.4472135954999579,0.7,kNN,True,10,lung,RES vs NONRES,RES,cnv,dip,supervised
0.6666666666666666,0.6,0.75,0.6666666666666665,0.525,0.3414634146341463,0.35,0.675,RF,False,1,lung,RES vs NONRES,RES,cnv,dip,supervised
0.7777777777777778,0.75,0.75,0.75,0.8,0.55,0.55,0.775,NB,False,1,lung,RES vs NONRES,RES,cnv,dip,supervised
