Accuracy,Precision,Recall,F1,AUROC,Kappa,MCC,Balanced accuracy,algorithm,fracs_counts,fold,cancer_type,classes,pos_class,variant_group,variant_type,breakpoint_type
0.4444444444444444,0.3333333333333333,0.25,0.28571428571428575,0.35,-0.15384615384615397,-0.15811388300841897,0.425,NB,"{'include_counts': False, 'include_fracs': True, 'include_total': True}",7,lung,RES vs NONRES,RES,cnv,del,quantile
0.4444444444444444,0.3333333333333333,0.25,0.28571428571428575,0.35,-0.15384615384615397,-0.15811388300841897,0.425,LR,"{'include_counts': False, 'include_fracs': True, 'include_total': True}",7,lung,RES vs NONRES,RES,cnv,del,quantile
0.5555555555555556,0.5,0.25,0.3333333333333333,0.6000000000000001,0.052631578947368474,0.05976143046671968,0.525,kNN,"{'include_counts': False, 'include_fracs': True, 'include_total': True}",7,lung,RES vs NONRES,RES,cnv,del,quantile
0.625,0.6666666666666666,0.5,0.5714285714285715,0.6875,0.25,0.2581988897471611,0.625,RF,"{'include_counts': False, 'include_fracs': True, 'include_total': True}",8,lung,RES vs NONRES,RES,cnv,del,quantile
0.625,1.0,0.25,0.4,0.5,0.25,0.3779644730092272,0.625,NB,"{'include_counts': False, 'include_fracs': True, 'include_total': True}",8,lung,RES vs NONRES,RES,cnv,del,quantile
0.5,0.0,0.0,0.0,0.9375,0.0,0.0,0.5,LR,"{'include_counts': False, 'include_fracs': True, 'include_total': True}",8,lung,RES vs NONRES,RES,cnv,del,quantile
0.875,0.8,1.0,0.888888888888889,0.875,0.75,0.7745966692414834,0.875,kNN,"{'include_counts': False, 'include_fracs': True, 'include_total': True}",8,lung,RES vs NONRES,RES,cnv,del,quantile
0.25,0.25,0.25,0.25,0.1875,-0.5,-0.5,0.25,RF,"{'include_counts': False, 'include_fracs': True, 'include_total': True}",9,lung,RES vs NONRES,RES,cnv,del,quantile
0.25,0.25,0.25,0.25,0.375,-0.5,-0.5,0.25,NB,"{'include_counts': False, 'include_fracs': True, 'include_total': True}",9,lung,RES vs NONRES,RES,cnv,del,quantile
0.375,0.3333333333333333,0.25,0.28571428571428575,0.25,-0.25,-0.2581988897471611,0.375,LR,"{'include_counts': False, 'include_fracs': True, 'include_total': True}",9,lung,RES vs NONRES,RES,cnv,del,quantile
0.25,0.3333333333333333,0.5,0.4,0.0625,-0.5,-0.5773502691896258,0.25,kNN,"{'include_counts': False, 'include_fracs': True, 'include_total': True}",9,lung,RES vs NONRES,RES,cnv,del,quantile
0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,-0.06666666666666665,-0.06666666666666667,0.4666666666666667,RF,"{'include_counts': False, 'include_fracs': True, 'include_total': True}",10,lung,RES vs NONRES,RES,cnv,del,quantile
0.625,0.5,0.6666666666666666,0.5714285714285715,0.5333333333333333,0.25,0.2581988897471611,0.6333333333333333,NB,"{'include_counts': False, 'include_fracs': True, 'include_total': True}",10,lung,RES vs NONRES,RES,cnv,del,quantile
0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6,-0.06666666666666665,-0.06666666666666667,0.4666666666666667,LR,"{'include_counts': False, 'include_fracs': True, 'include_total': True}",10,lung,RES vs NONRES,RES,cnv,del,quantile
0.375,0.3333333333333333,0.6666666666666666,0.4444444444444444,0.5333333333333333,-0.11111111111111116,-0.14907119849998599,0.43333333333333335,kNN,"{'include_counts': False, 'include_fracs': True, 'include_total': True}",10,lung,RES vs NONRES,RES,cnv,del,quantile
0.3333333333333333,0.25,0.25,0.25,0.35,-0.34999999999999987,-0.35,0.325,RF,"{'include_counts': True, 'include_fracs': True, 'include_total': True}",1,lung,RES vs NONRES,RES,cnv,del,quantile
0.2222222222222222,0.0,0.0,0.0,0.4,-0.6153846153846154,-0.6324555320336759,0.2,NB,"{'include_counts': True, 'include_fracs': True, 'include_total': True}",1,lung,RES vs NONRES,RES,cnv,del,quantile
0.1111111111111111,0.0,0.0,0.0,0.09999999999999998,-0.7999999999999998,-0.8,0.1,LR,"{'include_counts': True, 'include_fracs': True, 'include_total': True}",1,lung,RES vs NONRES,RES,cnv,del,quantile
0.4444444444444444,0.4,0.5,0.4444444444444445,0.325,-0.09756097560975618,-0.1,0.45,kNN,"{'include_counts': True, 'include_fracs': True, 'include_total': True}",1,lung,RES vs NONRES,RES,cnv,del,quantile
0.4444444444444444,0.3333333333333333,0.25,0.28571428571428575,0.425,-0.15384615384615397,-0.15811388300841897,0.425,RF,"{'include_counts': True, 'include_fracs': True, 'include_total': True}",2,lung,RES vs NONRES,RES,cnv,del,quantile
0.7777777777777778,1.0,0.5,0.6666666666666666,0.5,0.5263157894736843,0.5976143046671968,0.75,NB,"{'include_counts': True, 'include_fracs': True, 'include_total': True}",2,lung,RES vs NONRES,RES,cnv,del,quantile
0.6666666666666666,0.6666666666666666,0.5,0.5714285714285715,0.6000000000000001,0.3076923076923076,0.31622776601683794,0.65,LR,"{'include_counts': True, 'include_fracs': True, 'include_total': True}",2,lung,RES vs NONRES,RES,cnv,del,quantile
0.8888888888888888,1.0,0.75,0.8571428571428571,0.875,0.7692307692307692,0.7905694150420948,0.875,kNN,"{'include_counts': True, 'include_fracs': True, 'include_total': True}",2,lung,RES vs NONRES,RES,cnv,del,quantile
0.5,0.5,0.5,0.5,0.375,0.0,0.0,0.5,RF,"{'include_counts': True, 'include_fracs': True, 'include_total': True}",3,lung,RES vs NONRES,RES,cnv,del,quantile
0.625,1.0,0.25,0.4,0.6875,0.25,0.3779644730092272,0.625,NB,"{'include_counts': True, 'include_fracs': True, 'include_total': True}",3,lung,RES vs NONRES,RES,cnv,del,quantile
0.5,0.5,0.25,0.3333333333333333,0.625,0.0,0.0,0.5,LR,"{'include_counts': True, 'include_fracs': True, 'include_total': True}",3,lung,RES vs NONRES,RES,cnv,del,quantile
0.75,0.75,0.75,0.75,0.6875,0.5,0.5,0.75,kNN,"{'include_counts': True, 'include_fracs': True, 'include_total': True}",3,lung,RES vs NONRES,RES,cnv,del,quantile
0.625,0.6666666666666666,0.5,0.5714285714285715,0.75,0.25,0.2581988897471611,0.625,RF,"{'include_counts': True, 'include_fracs': True, 'include_total': True}",4,lung,RES vs NONRES,RES,cnv,del,quantile
0.625,1.0,0.25,0.4,0.6875,0.25,0.3779644730092272,0.625,NB,"{'include_counts': True, 'include_fracs': True, 'include_total': True}",4,lung,RES vs NONRES,RES,cnv,del,quantile
0.875,1.0,0.75,0.8571428571428571,0.8125,0.75,0.7745966692414834,0.875,LR,"{'include_counts': True, 'include_fracs': True, 'include_total': True}",4,lung,RES vs NONRES,RES,cnv,del,quantile
0.75,0.75,0.75,0.75,0.625,0.5,0.5,0.75,kNN,"{'include_counts': True, 'include_fracs': True, 'include_total': True}",4,lung,RES vs NONRES,RES,cnv,del,quantile
0.375,0.25,0.3333333333333333,0.28571428571428575,0.2666666666666666,-0.25,-0.2581988897471611,0.3666666666666667,RF,"{'include_counts': True, 'include_fracs': True, 'include_total': True}",5,lung,RES vs NONRES,RES,cnv,del,quantile
0.25,0.0,0.0,0.0,0.26666666666666666,-0.6000000000000001,-0.6,0.2,NB,"{'include_counts': True, 'include_fracs': True, 'include_total': True}",5,lung,RES vs NONRES,RES,cnv,del,quantile
0.375,0.25,0.3333333333333333,0.28571428571428575,0.4666666666666667,-0.25,-0.2581988897471611,0.3666666666666667,LR,"{'include_counts': True, 'include_fracs': True, 'include_total': True}",5,lung,RES vs NONRES,RES,cnv,del,quantile
0.375,0.25,0.3333333333333333,0.28571428571428575,0.2666666666666666,-0.25,-0.2581988897471611,0.3666666666666667,kNN,"{'include_counts': True, 'include_fracs': True, 'include_total': True}",5,lung,RES vs NONRES,RES,cnv,del,quantile
0.3333333333333333,0.25,0.25,0.25,0.35,-0.34999999999999987,-0.35,0.325,RF,"{'include_counts': True, 'include_fracs': True, 'include_total': True}",6,lung,RES vs NONRES,RES,cnv,del,quantile
0.2222222222222222,0.2,0.25,0.22222222222222224,0.19999999999999998,-0.5365853658536586,-0.55,0.225,NB,"{'include_counts': True, 'include_fracs': True, 'include_total': True}",6,lung,RES vs NONRES,RES,cnv,del,quantile
0.3333333333333333,0.25,0.25,0.25,0.3,-0.34999999999999987,-0.35,0.325,LR,"{'include_counts': True, 'include_fracs': True, 'include_total': True}",6,lung,RES vs NONRES,RES,cnv,del,quantile
0.6666666666666666,0.5714285714285714,1.0,0.7272727272727273,0.6,0.37209302325581395,0.47809144373375745,0.7,kNN,"{'include_counts': True, 'include_fracs': True, 'include_total': True}",6,lung,RES vs NONRES,RES,cnv,del,quantile
0.5555555555555556,0.5,0.5,0.5,0.5,0.10000000000000009,0.1,0.55,RF,"{'include_counts': True, 'include_fracs': True, 'include_total': True}",7,lung,RES vs NONRES,RES,cnv,del,quantile
0.7777777777777778,1.0,0.5,0.6666666666666666,0.65,0.5263157894736843,0.5976143046671968,0.75,NB,"{'include_counts': True, 'include_fracs': True, 'include_total': True}",7,lung,RES vs NONRES,RES,cnv,del,quantile
0.5555555555555556,0.5,0.5,0.5,0.44999999999999996,0.10000000000000009,0.1,0.55,LR,"{'include_counts': True, 'include_fracs': True, 'include_total': True}",7,lung,RES vs NONRES,RES,cnv,del,quantile
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,kNN,"{'include_counts': True, 'include_fracs': True, 'include_total': True}",7,lung,RES vs NONRES,RES,cnv,del,quantile
0.625,0.6666666666666666,0.5,0.5714285714285715,0.75,0.25,0.2581988897471611,0.625,RF,"{'include_counts': True, 'include_fracs': True, 'include_total': True}",8,lung,RES vs NONRES,RES,cnv,del,quantile
0.625,1.0,0.25,0.4,0.8125,0.25,0.3779644730092272,0.625,NB,"{'include_counts': True, 'include_fracs': True, 'include_total': True}",8,lung,RES vs NONRES,RES,cnv,del,quantile
0.75,1.0,0.5,0.6666666666666666,0.75,0.5,0.5773502691896258,0.75,LR,"{'include_counts': True, 'include_fracs': True, 'include_total': True}",8,lung,RES vs NONRES,RES,cnv,del,quantile
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,kNN,"{'include_counts': True, 'include_fracs': True, 'include_total': True}",8,lung,RES vs NONRES,RES,cnv,del,quantile
0.25,0.25,0.25,0.25,0.21875,-0.5,-0.5,0.25,RF,"{'include_counts': True, 'include_fracs': True, 'include_total': True}",9,lung,RES vs NONRES,RES,cnv,del,quantile
0.25,0.25,0.25,0.25,0.25,-0.5,-0.5,0.25,NB,"{'include_counts': True, 'include_fracs': True, 'include_total': True}",9,lung,RES vs NONRES,RES,cnv,del,quantile
0.5,0.5,0.25,0.3333333333333333,0.25,0.0,0.0,0.5,LR,"{'include_counts': True, 'include_fracs': True, 'include_total': True}",9,lung,RES vs NONRES,RES,cnv,del,quantile
